,,,,
MA,Williams College,59350,,
MA,Amherst College,60700,,
CA,Pomona College,56284,,
PA,Swarthmore College,55856,,
MA,Wellesley College,60424,,
ME,Bowdoin College,57776,,
MN,Carleton College,59850,,
NY,Barnard College,57734,,
CA,Claremont McKenna College,57876,,
IA,Grinnell College,58156,,
VT,Middlebury College,58330,,
CT,Wesleyan University,61449,,
NC,Davidson College,54460,,
NY,Hamilton College,59380,,
CA,Harvey Mudd College,60402,,
MA,Smith College,55830,,
NY,Vassar College,61940,,
NY,Colgate College,61594,,
PA,Haverford College,60442,,
VA,Washington and Lee University,58260,,
ME,Bates College,59062,,
ME,Colby College,58640,,
VA,University of Richmond,58570,,
MA,College of the Holy Cross,55800,,
MN,Macalester College,60288,,
KY,Berea College,42900,,
PA,Bryn Mawr College,55025,,
PA,Bucknell Univeristy,59474,,
PA,Lafayette College,55874,,
CO,Colorado College,61596,,
MA,Mount Holyoke College,56300,,
PA,Franklin and Marshall College,63216,,
CA,Occidental College,57830,,
CA,Scripps College,58224,,
NY,Skidmore College,59064,,
OH,Denison University,57500,,
MI,Hillsdale College,28730,,
OH,Kenyon College,63060,,
CA,Pitzer College,57686,,
GA,Spelman College,25249,,
CT,Trinity College,58610,,
NY,Union College (NY),61308,,
CT,Connecticut College,60420,,
IN,DePauw University,52900,,
PA,Dickinson College,58158,,
SC,Furman University,52992,,
WA,Whitman College,55560,,
KY,Centre College,46000,,
OH,Oberlin College,59384,,
IL,Principia College,29970,,
